Order Date,Product Name,Sales,Quantity,State
11/03/2024,Queso en lonchas,2063.4,543,California
26/07/2024,Suero de leche,668.0,334,Florida
12/01/2024,Queso blanco,365.0,73,California
03/06/2024,Kumis,1645.0,658,Nueva York
04/11/2024,Mantequilla clarificada (ghee),3835.25,667,California
18/02/2024,Yogur con frutas,284.4,237,Massachusetts
13/06/2024,Queso en lonchas,3081.8,811,Nueva York
05/12/2024,Mantequilla clarificada (ghee),3662.75,637,Florida
11/01/2024,Mantequilla sin sal,2734.2,651,California
16/09/2024,Yogur griego,360.0,240,Nueva York
09/07/2024,Leche en polvo,3910.5,711,Massachusetts
09/12/2024,Queso blanco,2485.0,497,Florida
20/08/2024,Leche condensada,915.0,366,Texas
11/01/2024,Queso havarti,4299.75,819,Massachusetts
12/12/2024,Queso crema,1248.8,446,Massachusetts
13/06/2024,Leche condensada,1610.0,644,Massachusetts
19/01/2024,Leche saborizada,732.0,488,Massachusetts
10/02/2024,Leche entera,557.25,743,Massachusetts
18/02/2024,Mantequilla con sal,628.0,157,California
14/05/2024,Queso brie,2184.0,364,Florida
30/09/2024,Crema batida,82.5,22,Texas
26/01/2024,Yogur griego,822.0,548,Texas
15/10/2024,Queso en lonchas,1276.8,336,Massachusetts
22/02/2024,Yogur con frutas,354.0,295,Nueva York
18/04/2024,Yogur natural,1000.0,1000,Massachusetts
19/06/2024,Cuajada,1577.4,717,Massachusetts
03/09/2024,Queso edam,3073.25,647,Massachusetts
20/01/2024,Yogur griego,553.5,369,Massachusetts
25/05/2024,Cuajada,580.8,264,Texas
25/11/2024,Crema batida,2471.25,659,Massachusetts
17/05/2024,Mantequilla clarificada (ghee),3875.5,674,Nueva York
13/02/2024,Crema agria,1367.5,547,Texas
18/05/2024,Queso gruyere,2849.0,518,Florida
25/09/2024,Leche evaporada,2270.1,987,California
12/03/2024,Queso crema,501.2,179,Texas
24/05/2024,Yogur con frutas,606.0,505,Nueva York
14/01/2024,Dulce de leche,561.0,187,Massachusetts
22/09/2024,Yogur con frutas,375.6,313,Massachusetts
14/08/2024,Cuajada,2090.0,950,Nueva York
14/08/2024,Queso azul gorgonzola,5052.0,842,Texas
29/08/2024,Mantequilla sin sal,1625.4,387,Nueva York
25/11/2024,Suero de leche,1040.0,520,Texas
25/09/2024,Queso azul gorgonzola,5100.0,850,Nueva York
15/10/2024,Queso en lonchas,938.6,247,Nueva York
14/11/2024,Queso ricota,1984.0,496,Florida
16/10/2024,Mantequilla con sal,164.0,41,Nueva York
30/10/2024,Mantequilla con sal,3728.0,932,Massachusetts
10/06/2024,Yogur con frutas,1026.0,855,California
06/01/2024,Mantequilla clarificada (ghee),4830.0,840,Florida
15/09/2024,Yogur con frutas,604.8,504,Texas
06/08/2024,Kumis,1027.5,411,Nueva York
19/07/2024,Mantequilla con sal,3180.0,795,Massachusetts
10/06/2024,Dulce de leche,741.0,247,Nueva York
18/10/2024,Crema batida,3288.75,877,Massachusetts
11/05/2024,Queso blanco,3755.0,751,Nueva York
09/11/2024,Queso havarti,4000.5,762,California
25/07/2024,Leche semidescremada,734.4,612,Texas
26/06/2024,Yogur natural,2572.5,735,Florida
14/09/2024,Yogur con frutas,541.2,451,Florida
20/09/2024,Leche deslactosada,241.8,186,Nueva York
13/04/2024,Leche evaporada,1005.1,437,Nueva York
29/11/2024,Queso edam,817.0,172,Massachusetts
27/02/2024,Suero de leche,1958.0,979,Massachusetts
14/04/2024,Crema agria,2002.5,801,Massachusetts
22/07/2024,Queso gouda,3249.0,722,Nueva York
15/01/2024,Suero de leche,1008.0,504,Texas
12/06/2024,Leche en polvo,2052.0,684,Florida
28/12/2024,Queso azul gorgonzola,276.0,46,Florida
17/06/2024,Mantequilla con sal,2704.0,676,California
04/07/2024,Queso gouda,2596.5,577,Texas
